MAG,domain,phylum,host_family,genus,species,vOTU,iphop,phase,method_iphop,viral_tax,checkv_quality,lifestyle,lifestyle_prediction_method
MAG_7,Bacteria,Actinomycetota,Dermatophilaceae,Flexivirga,,cn_080613_5_ph_rerun_000000000018,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,High-quality,lytic,checkv & bacphlip
MAG_7,Bacteria,Actinomycetota,Dermatophilaceae,Flexivirga,,cn_080613_5_ph_rerun_000000000334,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Complete,lytic,checkv & bacphlip
MAG_7,Bacteria,Actinomycetota,Dermatophilaceae,Flexivirga,,cn_080613_5_ph_rerun_000000000215,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_9,Bacteria,Actinomycetota,Mycobacteriaceae,Corynebacterium,,cn_080913_2_rerun_000000000750,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Medium-quality,lysogenic,checkv
MAG_10,Bacteria,Actinomycetota,Nocardioidaceae,Nocardioides,,080613_5_ph_rerun_k141_965180,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lysogenic,bacphlip
MAG_10,Bacteria,Actinomycetota,Nocardioidaceae,Nocardioides,,cn_080613_5_ph_rerun_000000000232,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Medium-quality,lytic,checkv & bacphlip
MAG_11,Bacteria,Actinomycetota,Propionibacteriaceae,,,cn_080613_5_ph_rerun_000000000166,TRUE,TRUE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_11,Bacteria,Actinomycetota,Propionibacteriaceae,,,080613_5_ph_rerun_k141_1326858,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_11,Bacteria,Actinomycetota,Propionibacteriaceae,,,080613_5_ph_rerun_k141_927247,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_11,Bacteria,Actinomycetota,Propionibacteriaceae,,,cn_080613_5_ph_rerun_000000000622,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,High-quality,lytic,checkv & bacphlip
MAG_11,Bacteria,Actinomycetota,Propionibacteriaceae,,,cn_080613_5_ph_rerun_000000000163,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_11,Bacteria,Actinomycetota,Propionibacteriaceae,,,cn_080613_5_ph_rerun_000000000275,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_12,Bacteria,Actinomycetota,Mycobacteriaceae,Dietzia,,cn_080613_5_ph_rerun_000000000408,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Not-determined,lysogenic,bacphlip
MAG_13,Bacteria,Actinomycetota,Dermabacteraceae,Brachybacterium,,cn_080613_5_ph_rerun_000000000318,TRUE,TRUE,blast,Caudoviricetes; Unclassified order,Not-determined,lysogenic,bacphlip
MAG_13,Bacteria,Actinomycetota,Dermabacteraceae,Brachybacterium,,080613_5_ph_rerun_k141_1761585|provirus_2_6046,TRUE,FALSE,blast,Unclassified,Low-quality,lytic,checkv & bacphlip
MAG_13,Bacteria,Actinomycetota,Dermabacteraceae,Brachybacterium,,080613_5_ph_rerun_k141_1806518,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Not-determined,lysogenic,bacphlip
MAG_13,Bacteria,Actinomycetota,Dermabacteraceae,Brachybacterium,,080613_5_ph_rerun_k141_1520396,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Not-determined,lytic,checkv & bacphlip
MAG_13,Bacteria,Actinomycetota,Dermabacteraceae,Brachybacterium,,cn_080613_5_ph_rerun_000000000505,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_13,Bacteria,Actinomycetota,Dermabacteraceae,Brachybacterium,,cn_080613_5_ph_rerun_000000000295,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_14,Bacteria,Actinomycetota,Beutenbergiaceae,Ruania,,cn_080613_5_ph_rerun_000000000007,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Complete,lytic,checkv & bacphlip
MAG_14,Bacteria,Actinomycetota,Beutenbergiaceae,Ruania,,cn_080613_5_ph_rerun_000000000352,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Medium-quality,lytic,checkv & bacphlip
MAG_15,Bacteria,Bacillota,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus sciuri,080613_5_ph_rerun_k141_964982|provirus_12185_22638,TRUE,FALSE,blast,Unclassified,Low-quality,lysogenic,bacphlip
MAG_15,Bacteria,Bacillota,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus sciuri,080913_8_1_ph_rerun_k141_266566,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080613_5_ph_rerun_k141_477557,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lysogenic,bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080613_5_ph_rerun_k141_1832240,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080613_5_ph_rerun_k141_43446,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lysogenic,checkv
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_319613,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,raw-080913-8-1-ph_rerun_bin_111_k141_9145,TRUE,FALSE,blast,Unclassified,Low-quality,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_262638,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_543092,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_476834,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_632075,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_98031,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_355271,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_434614,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_496503,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_130049,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_193261,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_523708,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_815638,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_294284,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,raw-080813-7-mc_bin_720_k141_588871,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,raw-080913-2_rerun_bin_2_k141_624771,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_38727,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_790217,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_613534,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_114945,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_37954,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_42771,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_47820,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_17761,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_813086,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_147967,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_283869,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_776424,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_295616,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_702518,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_458828,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_174087,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_430896,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_197860,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_533532,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_168732,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,raw-080913-8-1-ph_bin_74_k141_265754,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_661583,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,080913_8_1_ph_rerun_k141_770797,TRUE,FALSE,blast,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_16,Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,,,cn_080613_5_ph_rerun_000000000276,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Not-determined,lytic,checkv & bacphlip
MAG_17,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,080613_5_ph_rerun_k141_474105|provirus_166881_176562,TRUE,FALSE,blast,Unclassified,Low-quality,lysogenic,bacphlip
MAG_17,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,080613_5_ph_rerun_k141_1817716|provirus_18294_25083,TRUE,FALSE,blast,Unclassified,Low-quality,lytic,checkv & bacphlip
MAG_17,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,cn_080813_7_mc_000000000188,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_17,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,080613_5_ph_rerun_k141_641650,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_17,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,raw-080813-7-mc_raw-080813-7-mc_bin_37_k141_111509,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_17,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,080613_5_ph_rerun_k141_1698562,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_17,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_70_k141_1411359,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lysogenic,bacphlip
MAG_17,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_70_k141_1123316,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_17,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,080613_5_ph_rerun_k141_1417685,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_18,Bacteria,Actinomycetota,Mycobacteriaceae,Corynebacterium,,cn_080613_5_ph_rerun_000000000530,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_21,Bacteria,Actinomycetota,Nocardioidaceae,,,raw-080813-7-mc_raw-080813-7-mc_bin_233_k141_1330551,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080913_8_1_ph_rerun_k141_297699|provirus_23857_92764,TRUE,FALSE,iPHoP-RF,Unclassified,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,cn_080613_5_ph_rerun_000000000029,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Medium-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_118374|provirus_20701_37819,TRUE,FALSE,iPHoP-RF,Unclassified,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,cn_080613_5_ph_rerun_000000000074,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_1710109,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lysogenic,bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,cn_080913_2_rerun_000000000525,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,cn_080613_5_ph_rerun_000000000336,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,unclear,Not-determined
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,cn_080813_7_mc_000000000188,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_690042,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_650560,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_1542811,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_70_k141_134809,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Not-determined,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_125359,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_641650,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_1432005,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_1615043,TRUE,FALSE,iPHoP-RF,Unclassified,Not-determined,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_168356,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_198_k141_1642752,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_1417685,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,raw-080813-7-mc_raw-080813-7-mc_bin_113_k141_1281367,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080913_2_rerun_k141_1904122,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_847646,TRUE,FALSE,iPHoP-RF,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_1784182,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,080613_5_ph_rerun_k141_848245,TRUE,FALSE,blast,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
MAG_22,Bacteria,Bacillota,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,cn_080613_5_ph_rerun_000000000533,FALSE,TRUE,NA,Caudoviricetes; Unclassified order,Low-quality,lytic,checkv & bacphlip
