MAG,domain,phylum,class,order,family,genus,species
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_49_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Canibacter,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_50_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_52_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microbacterium,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_53_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,Peptidiphaga,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_55_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Beutenbergiaceae,HY158,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_56_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_58_modified,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Pseudogracilibacillus,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_59_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_5_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_63_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus lloydii
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_6_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Stackebrandtia,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_72_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Salinicoccaceae,Nosocomiicoccus,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_7_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Stackebrandtia,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_86_modified,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_8_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Nakamurellaceae,Nakamurella,
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_93_modified,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Mycoplasmoidaceae,Malacoplasma,
raw-080813-7-mc_bin_7_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_A sp017377655
raw-080813-7-mc_bin_9_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Friedmanniella,
raw-080813-7-mc_raw-080813-7-mc_bin_10_modified,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,HY038,
raw-080813-7-mc_raw-080813-7-mc_bin_11_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_A alishanensis
raw-080813-7-mc_raw-080813-7-mc_bin_12_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus sp002148425
raw-080813-7-mc_raw-080813-7-mc_bin_13_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus sp002174455
raw-080813-7-mc_raw-080813-7-mc_bin_17_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,
raw-080813-7-mc_raw-080813-7-mc_bin_24_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
raw-080813-7-mc_raw-080813-7-mc_bin_25_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,
raw-080813-7-mc_raw-080813-7-mc_bin_26_modified,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,
raw-080813-7-mc_raw-080813-7-mc_bin_27_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
raw-080813-7-mc_raw-080813-7-mc_bin_30_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,,
raw-080913-2_bin_100_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,,,
raw-080913-2_bin_103_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microbacterium,
raw-080913-2_bin_105_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Naumannella,
raw-080913-2_bin_106_modified,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,JAIBCC01,
raw-080913-2_bin_107_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,
raw-080913-2_bin_108_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Naumannella,
raw-080913-2_bin_109_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,
raw-080913-2_bin_111_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella muntiaci
raw-080913-2_bin_113_modified,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Breznakia,
raw-080913-2_bin_115_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,,
raw-080913-2_bin_116_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,,
raw-080913-2_bin_117_modified,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,,
raw-080913-2_bin_119_modified,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,,
raw-080913-2_bin_122_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,
raw-080913-2_bin_123_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Gemellaceae,Gemella,
raw-080913-2_bin_127_modified,Bacteria,Bacillota_B,TC1,TC1,TC1,,
raw-080913-2_bin_128_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,
raw-080913-2_bin_12_modified,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,,
raw-080913-2_bin_130_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
raw-080913-2_bin_137_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Gemellaceae,Gemella,
raw-080913-2_bin_138_modified,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,,
raw-080913-2_bin_152_modified,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Nanosynbacteraceae,,
raw-080913-2_bin_15_modified,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,,
raw-080913-2_bin_18_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_A malodoratus
raw-080913-2_bin_191_modified,Bacteria,DRYD01,DRYD01,,,,
raw-080913-2_bin_20_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Tsukamurella,
raw-080913-2_bin_21_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia alni
raw-080913-2_bin_22_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia,
raw-080913-2_bin_23_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Demetria,
raw-080913-2_bin_26_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,
raw-080913-2_bin_27_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,JACCZT01,
raw-080913-2_bin_30_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Avipropionibacterium,
raw-080913-2_bin_32_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Geodermatophilaceae,JACCQS01,
raw-080913-2_bin_33_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Morganella,Morganella morganii
raw-080913-2_bin_35_modified,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,
raw-080913-2_bin_36_modified,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,
raw-080913-2_bin_37_modified,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,JAAYBP01,Iamia,
raw-080913-2_bin_38_modified,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,JAAYBP01,Iamia,
raw-080913-2_bin_40_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,
raw-080913-2_bin_41_modified,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,,
raw-080913-2_bin_42_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,
raw-080913-2_bin_43_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Flexivirga,
raw-080913-2_bin_44_modified,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Desertimonas,
raw-080913-2_bin_45_modified,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,
raw-080913-2_bin_46_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Brevibacterium,
raw-080913-2_bin_47_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Sediminivirga,
raw-080913-2_bin_49_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Avipropionibacterium,
raw-080913-2_bin_50_modified,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,,
raw-080913-2_bin_51_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Naumannella,
raw-080913-2_bin_52_modified,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,JACCUL01,
raw-080913-2_bin_54_modified,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,HY038,HY038 sp014117425
raw-080913-2_bin_57_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Nakamurellaceae,Nakamurella,
raw-080913-2_bin_58_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,,
raw-080913-2_bin_60_modified,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,JAAYBP01,JAGQSN01,
raw-080913-2_bin_61_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,
raw-080913-2_bin_63_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia,
raw-080913-2_bin_64_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei_A
raw-080913-2_bin_65_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Brevibacterium,
raw-080913-2_bin_66_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia,
raw-080913-2_bin_69_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas citronellolis
raw-080913-2_bin_6_modified,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,
raw-080913-2_bin_70_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,
raw-080913-2_bin_71_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,
raw-080913-2_bin_74_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionicicella,
raw-080913-2_bin_75_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,
raw-080913-2_bin_77_modified,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aliihoeflea,
raw-080913-2_bin_78_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Knoellia,
raw-080913-2_bin_80_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,KH17,
raw-080913-2_bin_81_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Scandinavium,
raw-080913-2_bin_82_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,
raw-080913-2_bin_84_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,,
raw-080913-2_bin_85_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,
raw-080913-2_bin_86_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Arachnia,
raw-080913-2_bin_88_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,
raw-080913-2_bin_89_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,,
raw-080913-2_bin_90_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,
raw-080913-2_bin_93_modified,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,UBA6265,UBA6265,
raw-080913-2_bin_95_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,,
raw-080913-2_bin_97_modified,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridioides,
raw-080913-2_bin_99_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
raw-080913-2_rerun_bin_100_modified,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,JAAYBP01,JAGQSN01,
raw-080913-2_rerun_bin_103_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microbacterium,
raw-080913-2_rerun_bin_105_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agrococcus,
raw-080913-2_rerun_bin_111_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,KH17,
raw-080913-2_rerun_bin_115_modified,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium,
raw-080913-2_rerun_bin_17_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia,
raw-080913-2_rerun_bin_19_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,
raw-080913-2_rerun_bin_25_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,Kluyvera ascorbata
raw-080913-2_rerun_bin_29_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Geodermatophilaceae,JACCQS01,
raw-080913-2_rerun_bin_31_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens_K
raw-080913-2_rerun_bin_34_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Antricoccaceae,Epidermidibacterium,
raw-080913-2_rerun_bin_39_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,
raw-080913-2_rerun_bin_52_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Beutenbergiaceae,Pseudactinotalea,
raw-080913-2_rerun_bin_54_modified,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,Asaia siamensis
raw-080913-2_rerun_bin_55_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,
raw-080913-2_rerun_bin_56_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Tsukamurella,
raw-080913-2_rerun_bin_59_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Demetria,
raw-080913-2_rerun_bin_5_modified,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,
raw-080913-2_rerun_bin_64_modified,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,JAAYBP01,JAGQSN01,
raw-080913-2_rerun_bin_71_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,KH17,
raw-080913-2_rerun_bin_72_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,
raw-080913-2_rerun_bin_75_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,JAKPBU01,
raw-080913-2_rerun_bin_77_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
raw-080913-2_rerun_bin_79_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,
raw-080913-2_rerun_bin_86_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Dermatophilaceae,Janibacter,
raw-080913-2_rerun_bin_8_modified,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sp902363835
raw-080913-2_rerun_bin_92_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,,
raw-080913-2_rerun_bin_94_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,
raw-080913-8-1-ph_bin_13_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,,
raw-080913-8-1-ph_bin_15_modified,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,JAAYCI01,
raw-080913-8-1-ph_bin_16_modified,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,WQUF01,
raw-080913-8-1-ph_bin_17_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,
raw-080913-8-1-ph_bin_20_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,,
raw-080913-8-1-ph_bin_21_modified,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,
raw-080913-8-1-ph_bin_22_modified,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Frigididesulfovibrio,
raw-080913-8-1-ph_bin_23_modified,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,JAAYCI01,
raw-080913-8-1-ph_bin_26_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,
raw-080913-8-1-ph_bin_28_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,,
raw-080913-8-1-ph_bin_29_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
raw-080913-8-1-ph_bin_31_modified,Bacteria,Bacillota_A,Clostridia,Christensenellales,Christensenellaceae,,
raw-080913-8-1-ph_bin_33_modified,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA7067,
raw-080913-8-1-ph_bin_38_modified,Bacteria,Bacillota_A,Clostridia,Christensenellales,Christensenellaceae,,
raw-080913-8-1-ph_bin_39_modified,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Frigididesulfovibrio,
raw-080913-8-1-ph_bin_3_modified,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,,
raw-080913-8-1-ph_bin_40_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,,
raw-080913-8-1-ph_bin_43_modified,Bacteria,Desulfobacterota,Desulfarculia,Adiutricales,Adiutricaceae,Adiutrix,
raw-080913-8-1-ph_bin_44_modified,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Frigididesulfovibrio,
raw-080913-8-1-ph_bin_45_modified,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulforegulaceae,Desulfobotulus,
