contig,length,Phyllostomus disoclor (080613_8),Phyllostomus disoclor (080813_19),Mimon crenulatum (080813_7),Mimon crenulatum (080913_2),Phyllostomus hastatus (080613_5),Phyllostomus hastatus (080913_8)
080613_5_ph_rerun_k141_1634036,3187,0,0,0,0,27.95423197492163,0.061442006269592474
080613_5_ph_rerun_k141_1401122,3743,0,0,0,0,64.84570208222104,0.8457020822210358
080613_5_ph_rerun_k141_1401281,2711,0,0,0,0,9.381724392041267,0
080613_5_ph_rerun_k141_817925,6556,0,0,0,0,41.60189139719341,0
cn_080613_5_ph_rerun_000000000598,25689,0,0,0,0,14.718567536006228,0
080613_5_ph_rerun_k141_1751446,2655,0,0,0,0,46.63280662151994,1.0850263355906697
cn_080613_5_ph_rerun_000000000060,8659,0,0,0,0,8.466174093742785,0
cn_080613_5_ph_rerun_000000000286,14541,0,0,0,0,11.086232980332829,0
080613_5_ph_rerun_k141_1751820,3268,0,0,0,0,91.09179926560587,2.1780905752753976
080613_5_ph_rerun_k141_1751880,2610,0,0,0,0,5.955589586523737,0
080613_5_ph_rerun_k141_935811,3002,0,0,0,0,8.033954727030626,0
080613_5_ph_rerun_k141_702425,4992,0,0,0,0,661.5861378205128,80.82772435897436
080613_5_ph_rerun_k141_818609,2534,0.3785488958990536,0,0,0,86.16719242902208,0.07965299684542587
080613_5_ph_rerun_k141_1285182,3612,0,0,0,0,62.94130675526024,1.730343300110742
080613_5_ph_rerun_k141_1052049,3048,0,0,0,0,7.653543307086614,0
cn_080613_5_ph_rerun_000000000148,15525,0,0,0,0,51.894757181501994,0
cn_080613_5_ph_rerun_000000000385,12689,0,0,0,0,8.45311268715524,0
080613_5_ph_rerun_k141_120540,3845,0,0,0,0,5.819552782111284,0
cn_080613_5_ph_rerun_000000000562,5056,0,0,0,0,114.52650316455696,0
cn_080613_5_ph_rerun_000000000193,7462,0,0,0,0,19.433011789924972,0.4884780278670954
080613_5_ph_rerun_k141_818932,3613,0,0,0,0,22.292750415052573,0
080613_5_ph_rerun_k141_353329,5034,0,0,0,0,11.604447974583003,0
080613_5_ph_rerun_k141_1402146,2639,0,0,0,0,4.625283875851627,0
080613_5_ph_rerun_k141_1402162,4937,0,0,0,0,7.952612393681653,0
cn_080613_5_ph_rerun_000000000014,12019,0,0,0,0,21.611212776576277,0
cn_080613_5_ph_rerun_000000000358,15687,0,0,0,0,9.589292543021033,0
cn_080613_5_ph_rerun_000000000609,43062,0,0,0,0,96.60537804198403,0
cn_080613_5_ph_rerun_000000000393,5012,0,0,0,0,6.39584996009577,0
080613_5_ph_rerun_k141_1635453,4836,0,0,0,0,497.7001654259719,0
080613_5_ph_rerun_k141_2991,2935,0,0,0,0,6.377808032675289,0
080613_5_ph_rerun_k141_1169517,3233,0,0,0,0,902.430426716141,102
cn_080613_5_ph_rerun_000000000335,6067,0,0,0,0,11.08500823723229,0
cn_080613_5_ph_rerun_000000000256,9415,0,0,0,0,24.485665746442983,0
080613_5_ph_rerun_k141_469998,2858,0,0,0,0,23.82937062937063,0.0013986013986013986
cn_080613_5_ph_rerun_000000000186,16797,0,0,0,0,45.51256101916895,15.55030360757233
cn_080613_5_ph_rerun_000000000245,5288,0,0,0,0,21.71822995461422,0
080613_5_ph_rerun_k141_1520396,3739,0,0,0,0,79.48583645109566,0.1731694281133084
080613_5_ph_rerun_k141_121774,2729,0,0,0,0,9.441025641025641,0
080613_5_ph_rerun_k141_1402779,2871,0,0,0,0,9.887961029923451,0
080613_5_ph_rerun_k141_237460,2953,0,0,0,0,8.620176032498307,0
080613_5_ph_rerun_k141_937676,3070,0.4420572916666667,0,0.06705729166666667,1.59375,15.560546875,0
cn_080613_5_ph_rerun_000000000527,5693,0,0,0,0,9.399719002458728,0
cn_080613_5_ph_rerun_000000000270,8685,0,0,0,0,7.510016117890859,0
080613_5_ph_rerun_k141_237679,3287,0,0,0,0,15.443161094224925,0
080613_5_ph_rerun_k141_820157,4923,0,0,0,0,35.69874137231019,0
080613_5_ph_rerun_k141_587996,2787,0,0,0,0.22724014336917564,6.15268817204301,0
080613_5_ph_rerun_k141_237922,3512,0,0,0,0,12.571753986332574,0
080613_5_ph_rerun_k141_1521510,2740,0.1927007299270073,0,11.052554744525548,2.487591240875912,5.061313868613139,12.13138686131387
080613_5_ph_rerun_k141_1521537,3199,0,0,0,0,9.409743910056214,0
cn_080613_5_ph_rerun_000000000341,8084,0,0,0,0,10.444334487877288,0
080613_5_ph_rerun_k141_1521723,3985,0,0,0,0.13948820873055695,7.086803813346713,0
080613_5_ph_rerun_k141_1521813,4250,0,0,0,0,69.5131702728128,64.46519285042334
cn_080613_5_ph_rerun_000000000580,113861,0,0,0,0,10.659587922221636,0
cn_080613_5_ph_rerun_000000000389,11218,0,0,0,0,50.71229946524064,0.13903743315508021
cn_080613_5_ph_rerun_000000000565,9371,0,0,0,0,1601.8884147642416,0
080613_5_ph_rerun_k141_939206,2590,0,0,0,0.013888888888888888,10.828703703703704,0
cn_080613_5_ph_rerun_000000000498,73686,0,0,0,0,11.188280317012268,0
080613_5_ph_rerun_k141_1404628,3164,0,0,0,0,12.939317319848293,0
cn_080613_5_ph_rerun_000000000145,5561,0,0,0,0,6.670981661272924,0
080613_5_ph_rerun_k141_1754955,2837,0,0,0,0,4.162085976039465,0
080613_5_ph_rerun_k141_1522309,2655,0,0,0,0,11.145974416854777,0
cn_080613_5_ph_rerun_000000000522,12991,0,0,0,0,20.737571186701555,0
080613_5_ph_rerun_k141_706069,2990,5.454545454545454,0,0,0,5.448529411764706,0.7894385026737968
cn_080613_5_ph_rerun_000000000378,6378,0,0,0,0,11.253918495297805,0
080613_5_ph_rerun_k141_589277,4641,0,0,0,0,7.192589401120207,0
cn_080613_5_ph_rerun_000000000070,9352,0,0,0,0,1879.3905047048759,0
080613_5_ph_rerun_k141_1522732,3840,0,0,0,0,61.07395833333333,0.16927083333333334
080613_5_ph_rerun_k141_706317,2587,0,0,0,0,16.603861003861002,0
080613_5_ph_rerun_k141_1055773,2540,0,0,0,0,5.9,0
080613_5_ph_rerun_k141_1405240,2555,0,0,0,0,15.30258014073495,0
080613_5_ph_rerun_k141_124216,3654,0,0,0,0,5.579868708971554,0
cn_080613_5_ph_rerun_000000000474,12473,0,0,0,0,10.864197530864198,0
080613_5_ph_rerun_k141_1638958,10995,0,0,0,0,8.545008183306056,0
080613_5_ph_rerun_k141_1289385,4552,0,0,0,0,50.77416520210896,0
cn_080613_5_ph_rerun_000000000222,9467,0,0,0,0,11.748891235480464,0
080613_5_ph_rerun_k141_124472,2537,0,0,0,0,4.408983451536643,0
080613_5_ph_rerun_k141_239011,2750,5.903343023255814,0,0,0,4.120639534883721,0.29651162790697677
cn_080613_5_ph_rerun_000000000444,8021,0,0,0,0,7.738469209673398,0
080613_5_ph_rerun_k141_1172491,4633,0,0,0,0,9.347432024169184,0
080613_5_ph_rerun_k141_1289825,3783,0,0,0,0,6.132593766508188,0
080613_5_ph_rerun_k141_356980,3818,0,0,0,0,6.332460732984293,0
cn_080613_5_ph_rerun_000000000433,16974,0,0,0,0,52.54559377945335,0
cn_080613_5_ph_rerun_000000000174,20826,0,0,0,0,8.00624159784905,0
080613_5_ph_rerun_k141_707667,2698,0,0,0,0,31.543703703703702,0
080613_5_ph_rerun_k141_125359,4339,0,0,0,0,38.678489175495166,0
080613_5_ph_rerun_k141_357552,3017,0,0,0,0,38.88270377733598,0
080613_5_ph_rerun_k141_1173267,2817,0,0,0,0,10.902058197303052,0
080613_5_ph_rerun_k141_1640207,4724,0,0,0,0,7.155376799322608,0
080613_5_ph_rerun_k141_1640276,2808,0,0,0,0,6.10968660968661,0
080613_5_ph_rerun_k141_823427,3037,0,0,0,0,10.385121790651745,0
080613_5_ph_rerun_k141_1173422,2658,0,0,0,0.21428571428571427,381.11503759398494,2.085714285714286
080613_5_ph_rerun_k141_7037,3776,0,0,0,0,19.98093220338983,0.5132415254237288
080613_5_ph_rerun_k141_823461,3942,0,0,0,0,7.171399594320487,0
080613_5_ph_rerun_k141_240395,6423,0,0,0,0,20.12169312169312,0
cn_080613_5_ph_rerun_000000000476,5992,0,0,0,0,40.4522696929239,0.7810413885180241
080613_5_ph_rerun_k141_358204,3583,0,0,0,0,6.829336307863915,0
cn_080613_5_ph_rerun_000000000376,9563,0,0,0,0,14.803888772736777,0
080613_5_ph_rerun_k141_708572,2582,0,0,0,0,5.076625386996904,0
cn_080613_5_ph_rerun_000000000566,8240,0,0,0,0,14.519417475728156,0
080613_5_ph_rerun_k141_1174420,3324,0,0,0,0,9.58604091456077,0
cn_080613_5_ph_rerun_000000000125,20092,0,0,0,0,11.182958391399563,0
cn_080613_5_ph_rerun_000000000019,6723,0,0,0,0,10.47695509961344,0
080613_5_ph_rerun_k141_358998,8629,0,0,0,0,14.262572421784473,0
080613_5_ph_rerun_k141_1525697,2901,0,0,0,0,16.056512749827704,0
080613_5_ph_rerun_k141_824751,3427,0,0,0,0,32.096793002915454,0.3358600583090379
cn_080613_5_ph_rerun_000000000236,6718,0,0,0,0,58,0.15833333333333333
080613_5_ph_rerun_k141_1058337,2995,0,0,0,0,3.781187458305537,0
080613_5_ph_rerun_k141_943150,4945,0,0,0,0,12.966033158107562,4.621107966033158
080613_5_ph_rerun_k141_825124,2808,0,0,0,0,7.382478632478633,0
080613_5_ph_rerun_k141_1642158,3692,0,0,0,0,11.674972914409533,0
cn_080613_5_ph_rerun_000000000550,10861,0,0,0,0,8.248204750506352,0
cn_080613_5_ph_rerun_000000000454,40613,0,0,0,0,12.878908750677107,0
080613_5_ph_rerun_k141_9133,6474,0,0,0,0,13.94780728844966,0
080613_5_ph_rerun_k141_1526632,3587,0,0,0,0,7.815598885793872,0
080613_5_ph_rerun_k141_360121,2955,0,0,0,0,52.20554428668019,0
080613_5_ph_rerun_k141_1642766,2842,0,0,0,0,14.29887482419128,0
cn_080613_5_ph_rerun_000000000250,9267,0,0,0,0,8.658468176914779,0
cn_080613_5_ph_rerun_000000000496,6024,0,0,0,0,19.597941567065075,0
080613_5_ph_rerun_k141_1293271,11163,0.6140068063765001,0,4.572093856349633,724.5119111588751,10.283181085437937,40.691384560272255
cn_080613_5_ph_rerun_000000000031,8100,0,0,0,0,37.65851851851852,0
080613_5_ph_rerun_k141_1409709,2764,0,0,0,0,10.249638205499277,0
080613_5_ph_rerun_k141_1642994,5481,0,0,0,0,50.41773075519883,0
080613_5_ph_rerun_k141_1527123,2869,0,0,0,0,40.8390243902439,0
080613_5_ph_rerun_k141_1176304,2763,0,0,0,0,9.676789587852495,0
cn_080613_5_ph_rerun_000000000006,9733,0,0,0,0,165.41565646188616,0
080613_5_ph_rerun_k141_477557,38168,0,0,0,0,25.205355271431564,3.57425068119891
cn_080613_5_ph_rerun_000000000344,15178,0,0,0,0,8.827931488801054,0
080613_5_ph_rerun_k141_593040,3006,0,0,0,0,7.538563829787234,0
080613_5_ph_rerun_k141_477642,4457,0,0,0,0,939.6823687752355,93.42530282637954
080613_5_ph_rerun_k141_710934,15091,0,0,0,0,25.504836358818075,0
cn_080613_5_ph_rerun_000000000165,20656,0,0,0,0,9.493125484120837,0
080613_5_ph_rerun_k141_593243,13337,0,0,0,0,9.123256860098966,0
080613_5_ph_rerun_k141_1294174,3147,0,0,0,0,153.9136507936508,0.08507936507936507
080613_5_ph_rerun_k141_1176834,2754,0,0,0,0,20.99274310595065,0
cn_080613_5_ph_rerun_000000000067,5556,0,0,0,0,33.223902087832975,0
cn_080613_5_ph_rerun_000000000161,18865,0,0,0,0,25.069013039330013,0
080613_5_ph_rerun_k141_478041,9182,1106.2674216027874,1528.4222560975609,389.36149825783974,0.028745644599303136,112.9743031358885,31.194468641114984
080613_5_ph_rerun_k141_1410847,2548,0,0,0,0,5.64756671899529,0
cn_080613_5_ph_rerun_000000000442,5333,0,0,0,0,10.53618297712786,0
080613_5_ph_rerun_k141_478226,3599,0,0,0,0,43.56135480288729,0.5669072737368129
080613_5_ph_rerun_k141_827168,3951,0,0,0,0,8.517450682852807,0
080613_5_ph_rerun_k141_594092,2619,0,0,0,0,7.2082379862700225,0
cn_080613_5_ph_rerun_000000000234,22359,0,0,0,0,22.370449870315714,0
cn_080613_5_ph_rerun_000000000541,5831,0,0,0,0,49.36852931093589,0
080613_5_ph_rerun_k141_129786,3754,0,0,0,0,34.89669861554846,0
cn_080613_5_ph_rerun_000000000036,16492,0,0,0,0,9.14685908319185,0
080613_5_ph_rerun_k141_1177796,2546,0,0,0,0,7.971742543171114,0
080613_5_ph_rerun_k141_362423,2914,0,0,0,0,54.166666666666664,0
cn_080613_5_ph_rerun_000000000470,35506,0,0,0,0,21.158499493071982,0
cn_080613_5_ph_rerun_000000000364,8620,0,0,0,0,15.207656612529002,0
080613_5_ph_rerun_k141_1761758,2924,0,0,0,0,4.95827633378933,0
cn_080613_5_ph_rerun_000000000327,6845,0,0,0,0,8.116564417177914,0
080613_5_ph_rerun_k141_1761843,3275,0,0,0,0,14.656497864551556,0
cn_080613_5_ph_rerun_000000000069,9933,0,0,0,0,9.679887255888866,0
cn_080613_5_ph_rerun_000000000416,7790,0,0,0,0,9.03105749486653,0
cn_080613_5_ph_rerun_000000000029,26656,0.14915966386554622,0,0,3.4771908763505404,74.64135654261705,0.1093187274909964
080613_5_ph_rerun_k141_1412027,5572,0,0,0,0,10.455132806891601,0
cn_080613_5_ph_rerun_000000000464,6011,0,0,0,0,7.973727968074493,0
cn_080613_5_ph_rerun_000000000449,23969,0,0,0,0,29.818105965790572,0
080613_5_ph_rerun_k141_828894,6007,0,0,0,0,1763.390016638935,49.80565723793677
cn_080613_5_ph_rerun_000000000551,5112,0,0,0,0,23.780125195618155,0
080613_5_ph_rerun_k141_947218,2613,0,0,0,0,4.8469778117827085,0
080613_5_ph_rerun_k141_1062103,2948,0,0,0,0,13.189280868385346,0
cn_080613_5_ph_rerun_000000000339,5617,0,0,0,0,76.9188323246707,0.019223923104307584
080613_5_ph_rerun_k141_131124,2646,0,0,0,0,10.84667673716012,0.13821752265861026
080613_5_ph_rerun_k141_246118,7454,0,0,0,0,128.79211373390558,0
080613_5_ph_rerun_k141_12004,2867,0,0,0,0,5.894773519163763,0
cn_080613_5_ph_rerun_000000000324,6919,0,0,0,0,9.497255128575556,0
cn_080613_5_ph_rerun_000000000284,9985,0,0,0,0,7.841377929100741,0
cn_080613_5_ph_rerun_000000000204,6736,0,0,0,0,18.565320665083135,0
080613_5_ph_rerun_k141_1062485,3171,0,0,0,0,10.398235664776308,0
080613_5_ph_rerun_k141_829405,9686,0,0,0,0,34.471717588769614,0
080613_5_ph_rerun_k141_713911,2688,0,0,0,0,4.833333333333333,0
080613_5_ph_rerun_k141_480181,2614,15.009938837920489,0,0,0,2193.0351681957186,0.0863914373088685
080613_5_ph_rerun_k141_713946,4420,0,0,0,0,8.79185520361991,0
080613_5_ph_rerun_k141_480284,2650,0,0,0,0,18.66892911010558,0
cn_080613_5_ph_rerun_000000000401,6996,0,0,0,0,654.0614636935392,1.2504288164665522
080613_5_ph_rerun_k141_364285,3702,0,0,0,0,6.994060475161987,0
080613_5_ph_rerun_k141_480371,3290,0,0,0,0,1484.9398541919807,0
cn_080613_5_ph_rerun_000000000624,7437,0,0,0,0,17.692928206507126,0
cn_080613_5_ph_rerun_000000000596,6431,0,0,0,0,5.430214485545539,0
080613_5_ph_rerun_k141_714393,2900,0,0,0,0,7.3710344827586205,0
080613_5_ph_rerun_k141_1179801,16366,0,0,0,0,48.00024437927664,0.7370478983382209
080613_5_ph_rerun_k141_1413857,4635,3.0551962052608883,0,0,0,6.177662785683484,19.267356619232427
080613_5_ph_rerun_k141_596809,5654,0.05374823196605375,0,0,0.14816124469589817,8.372701555869872,0
080613_5_ph_rerun_k141_1063085,4965,0,0,0,0,7.779701973419251,0
080613_5_ph_rerun_k141_364832,4444,0,0,0,0,6.468946894689469,0
cn_080613_5_ph_rerun_000000000310,7694,0,0,0,0,26.87006237006237,0.16606029106029105
cn_080613_5_ph_rerun_000000000536,6945,0,0,0,0,10.508494097322199,0
080613_5_ph_rerun_k141_1063411,3314,0,0,0,0,43.705066344993966,0.26658624849215923
080613_5_ph_rerun_k141_714668,9237,0,0,0,0,78.64169733708594,0.45702533015804286
080613_5_ph_rerun_k141_948983,3413,0,0,0,0,6.080257762155829,0
080613_5_ph_rerun_k141_949095,2963,0,0,0,0,23.225893459204315,0
080613_5_ph_rerun_k141_1297831,4319,0,0,0,0,19.586765386395186,0
cn_080613_5_ph_rerun_000000000184,5645,0,0,0,0,20.88097768331562,0
080613_5_ph_rerun_k141_365992,4545,0,0,0,0,25.017157941047074,0
080613_5_ph_rerun_k141_366305,4851,0,0,0,0,5.503502266172229,0
080613_5_ph_rerun_k141_949803,3678,0,0,0,0,53.70326086956522,0.621195652173913
080613_5_ph_rerun_k141_597722,3589,0,0,0,0,4.987186629526462,0
cn_080613_5_ph_rerun_000000000045,6856,0,0,0,0,25.41977829638273,0.15344224037339557
080613_5_ph_rerun_k141_830321,3506,0,0,0,0,4.361459521094641,0
080613_5_ph_rerun_k141_1764958,9178,0,0,0,0,28.50479302832244,0
080613_5_ph_rerun_k141_14465,9823,0,0,0,0,21.607775290046813,0
080613_5_ph_rerun_k141_1648591,4381,0,0,0,0,9.511638521223185,0
cn_080613_5_ph_rerun_000000000497,6960,0,0,0,0,7.243390804597701,0
080613_5_ph_rerun_k141_133983,2739,3.9423778264040847,0.5288110867979577,5.054704595185996,36.45295404814004,493.43836615609047,3.451495258935084
cn_080613_5_ph_rerun_000000000103,23303,0,0,0,0,17.039217368917875,0
080613_5_ph_rerun_k141_830933,7182,0,0,0,0,9.099109131403118,0
cn_080613_5_ph_rerun_000000000559,19294,0,0,0,0,23.923714759535656,0
080613_5_ph_rerun_k141_1065432,3073,0,0,0,0,6.786597267404034,0
080613_5_ph_rerun_k141_1299404,3381,0,0,0,0,25.69544648137197,0.0017740981667652277
cn_080613_5_ph_rerun_000000000271,8010,0,0,0,0,18.29430853719421,0
080613_5_ph_rerun_k141_1765479,3901,0,0,0,0,6.882111737570477,0.008200922603792926
080613_5_ph_rerun_k141_1182148,4767,0,0,0,0,9.276310272536687,0
080613_5_ph_rerun_k141_1532734,2755,0,0,0,0,4.174039158810732,0
cn_080613_5_ph_rerun_000000000203,9153,0,0,0,0,11.49421018134149,0
080613_5_ph_rerun_k141_1299681,3142,0,0,0,0,61.19656488549618,0
080613_5_ph_rerun_k141_1416508,5023,0,0,0,0,6.972940708316753,0
080613_5_ph_rerun_k141_951359,5108,0,0,0,0,8.817149569303053,0
080613_5_ph_rerun_k141_951392,3148,2.4879288437102924,0.5743329097839899,0,0,6.6143583227446,0
cn_080613_5_ph_rerun_000000000434,11801,0,0,0,0,12.510760887985088,0
080613_5_ph_rerun_k141_599589,3003,0.04524284763805722,0,0,0,33.61809713905522,0
080613_5_ph_rerun_k141_15630,8063,0,0,0,0,8.365484750805852,0
080613_5_ph_rerun_k141_1533389,2893,0,0,0,0,7.030407740152039,0
080613_5_ph_rerun_k141_1649674,2906,0,0,0,0,8.887207702888583,0
080613_5_ph_rerun_k141_832087,2606,0,0,0,0,6.383435582822086,0
080613_5_ph_rerun_k141_135194,4466,1.1128021486123545,0,0,0,8.667412712623097,0.16875559534467324
080613_5_ph_rerun_k141_717916,3058,0,0,0,0,7.245098039215686,0
cn_080613_5_ph_rerun_000000000085,5971,0,0,0,0,36.48242383662538,0
080613_5_ph_rerun_k141_1417155,4509,0,0,0,0,75.11973392461198,0
080613_5_ph_rerun_k141_1650067,2779,0,0,0,0,42.651329978432784,0.10999281092739037
080613_5_ph_rerun_k141_718143,4329,10.863279445727482,2.365819861431871,0.505311778290993,29.265588914549653,264.72886836027715,0.9907621247113164
080613_5_ph_rerun_k141_600203,3311,0,0,0,0,25.499698249849125,0
080613_5_ph_rerun_k141_1417411,3519,0,0,0,0,10.937535491198183,0
080613_5_ph_rerun_k141_1650396,4806,0,0,0,0,10.455906821963394,0
cn_080613_5_ph_rerun_000000000435,10285,0,0,0,0,7.7351740229438075,0
080613_5_ph_rerun_k141_16249,4670,0,0,0,0,9.827054794520548,0
080613_5_ph_rerun_k141_135978,2668,0,0,0,0,5.198650674662669,0
080613_5_ph_rerun_k141_1417685,3360,0.22380952380952382,0,0,0,5.72797619047619,0
cn_080613_5_ph_rerun_000000000548,173230,0,0,0,0,1400.583252516856,0
080613_5_ph_rerun_k141_1183769,3454,0,0,0,0,13.982060185185185,0
cn_080613_5_ph_rerun_000000000099,6626,0,0,0,0,12.302051901025951,0
cn_080613_5_ph_rerun_000000000516,35284,0,0,0,0,10.939292597211201,0
080613_5_ph_rerun_k141_1417992,2536,0.018138801261829655,0,0,0,5.071766561514195,0
cn_080613_5_ph_rerun_000000000147,41117,0,0,0,0,34.79079721776351,0
cn_080613_5_ph_rerun_000000000200,12073,0,0,0,0,7.5888686433659105,0
080613_5_ph_rerun_k141_719385,2746,0,0,0,0,6.558951965065503,0
cn_080613_5_ph_rerun_000000000311,7605,0,0,0,0,29.48645805942677,0
cn_080613_5_ph_rerun_000000000257,24968,0,0,0,0,10.355975648830503,0
080613_5_ph_rerun_k141_485091,3589,0,0,0,0,7.788857938718663,0
080613_5_ph_rerun_k141_1768031,2840,0,0,0,0,6.644366197183099,0
080613_5_ph_rerun_k141_17513,4820,0,0,0,0,7.584232365145228,0
080613_5_ph_rerun_k141_1185012,23839,0,0,0,0,12.739703045046557,0
080613_5_ph_rerun_k141_251436,4797,0,0,0,0,145.9328887036265,0.08795331388078366
cn_080613_5_ph_rerun_000000000595,5043,0,0,0,0,12.821640903686088,0
080613_5_ph_rerun_k141_953953,4368,0,0,0,3.7646520146520146,16.04624542124542,0
080613_5_ph_rerun_k141_369330,3337,0,0,0,0,29.57279808268424,0
080613_5_ph_rerun_k141_1768316,3246,0,0,0,0,9.873768472906404,0
080613_5_ph_rerun_k141_1302199,2531,0,0,0,0,6.008681925808998,0
cn_080613_5_ph_rerun_000000000034,16292,0,0,0,0,15.399582617235453,0
080613_5_ph_rerun_k141_720020,2660,0,0,0,0,5.928571428571429,0
cn_080613_5_ph_rerun_000000000461,5336,0,0,0,0,5.79047976011994,0
080613_5_ph_rerun_k141_1536488,6847,0,0,0,0,9.863941605839416,0.1413138686131387
080613_5_ph_rerun_k141_1186029,31180,0,0,0,0,26.151379089159718,4.227774214239897
cn_080613_5_ph_rerun_000000000617,7884,4.690005073566717,0,0,0,2667.3817858954844,0
080613_5_ph_rerun_k141_720600,3331,0,0,0,0,21.013797240551888,0
080613_5_ph_rerun_k141_1769338,7397,74.91835631251689,1.8012976480129765,0,0,196.86212489862126,44.13111651797783
080613_5_ph_rerun_k141_370595,3126,0,0,0,0,13.37915601023018,0.0076726342710997444
cn_080613_5_ph_rerun_000000000073,5384,0,0,0,0,18.444279346210994,0
cn_080613_5_ph_rerun_000000000130,13739,0,0,0,0,9.250764080919808,0
080613_5_ph_rerun_k141_721230,4103,0,0,0,0,14.904529956161715,0
cn_080613_5_ph_rerun_000000000003,7460,0,0,0,0,16.777479892761395,0
080613_5_ph_rerun_k141_1069626,2837,0,0,0,0,14.01832276250881,0
080613_5_ph_rerun_k141_487130,3627,0,0,0,0,18.21267217630854,0
080613_5_ph_rerun_k141_19741,3009,0,0,0,0,54.77408637873754,0
080613_5_ph_rerun_k141_604261,5075,0,0,0,0,7.984245766049626,0
080613_5_ph_rerun_k141_487434,2519,0,0,0,0,4.986518636003172,0
080613_5_ph_rerun_k141_955918,4496,0,0,0,0,16.77491103202847,0
080613_5_ph_rerun_k141_1420907,5126,0,0,0,0,39.582683307332296,0.37597503900156004
cn_080613_5_ph_rerun_000000000509,9402,0,0,0,0,19.24393874946831,0
080613_5_ph_rerun_k141_254256,2530,0,0,0,0,6.466824644549763,0
080613_5_ph_rerun_k141_1187666,3267,0,0,0,0,17.411009174311925,0
080613_5_ph_rerun_k141_1187778,4591,0,0,0,0,28.031780583369613,0
080613_5_ph_rerun_k141_1304292,11622,0,0,0,0,519.6293874741913,255.9993117687543
080613_5_ph_rerun_k141_1070655,2794,0,0,0,0,20.723891273247496,0
cn_080613_5_ph_rerun_000000000298,5655,0,0,0,0,10.446094026157652,0
080613_5_ph_rerun_k141_1421627,2745,0,0,0,0,5.843408594319009,0
cn_080613_5_ph_rerun_000000000558,10026,0,0,0,0,14.24790586358197,0
080613_5_ph_rerun_k141_1421731,4538,0,0,0,0,6.578854625550661,0
080613_5_ph_rerun_k141_255058,3041,0,0,0,0,59.32018408941486,0
cn_080613_5_ph_rerun_000000000104,5449,0,0,0,0,11.648073394495412,0
cn_080613_5_ph_rerun_000000000616,9401,0,0,0,0,12.145926398638588,0
080613_5_ph_rerun_k141_836740,4068,0,0,0,0,5.196165191740413,0
080613_5_ph_rerun_k141_372457,4556,0,0,0,0,7.335820895522388,0
cn_080613_5_ph_rerun_000000000544,14993,0,0,0,0,20.341336534613845,0
