MAG,contig,length
MAG_2,c_000000000277,1425157
MAG_2,c_000000000278,837772
MAG_2,c_000000000279,1056970
MAG_2,c_000000000280,1850502
MAG_2,c_000000000281,742854
MAG_2,c_000000000282,987072
MAG_2,c_000000000283,1540219
MAG_2,c_000000000284,1300811
MAG_2,c_000000000285,270178
MAG_2,c_000000000286,1645268
MAG_2,c_000000000287,379859
MAG_2,c_000000000288,1633129
MAG_2,c_000000000289,736958
MAG_2,c_000000000290,18563
MAG_2,c_000000000291,760665
MAG_2,c_000000000292,1281364
MAG_2,c_000000000293,944021
MAG_2,c_000000000294,465382
MAG_2,c_000000000295,1456953
MAG_2,c_000000000296,1531736
MAG_2,c_000000000297,413299
MAG_2,c_000000000298,246788
MAG_2,c_000000000299,263624
MAG_2,c_000000000300,1484018
MAG_2,c_000000000301,1320817
MAG_2,c_000000000302,441788
MAG_2,c_000000000303,953099
MAG_2,c_000000000304,637824
MAG_2,c_000000000305,1179367
MAG_2,c_000000000306,891238
MAG_2,c_000000000307,1294009
MAG_2,c_000000000308,736007
MAG_2,c_000000000309,128566
MAG_2,c_000000000310,20288
MAG_2,c_000000000311,198891
MAG_2,c_000000000312,1304616
MAG_2,c_000000000313,234683
MAG_2,c_000000000314,1474319
MAG_2,c_000000000315,1545788
MAG_2,c_000000000316,1140016
MAG_2,c_000000000317,1648550
MAG_2,c_000000000318,18091
MAG_2,c_000000000319,356996
MAG_2,c_000000000320,328119
MAG_2,c_000000000321,471099
MAG_2,c_000000000322,260458
MAG_2,c_000000000323,160553
MAG_2,c_000000000324,607205
MAG_2,c_000000000325,532478
MAG_2,c_000000000326,771194
MAG_2,c_000000000327,839703
MAG_2,c_000000000328,1558401
MAG_2,c_000000000329,816144
MAG_2,c_000000000330,1130219
MAG_2,c_000000000331,601852
MAG_2,c_000000000332,1053624
MAG_2,c_000000000333,98622
MAG_2,c_000000000334,1656345
MAG_2,c_000000000335,386772
MAG_2,c_000000000336,282461
MAG_2,c_000000000337,657844
MAG_2,c_000000000338,1371261
MAG_2,c_000000000339,706962
MAG_2,c_000000000340,1062589
MAG_2,c_000000000341,251220
MAG_2,c_000000000342,1442985
MAG_2,c_000000000343,1067407
MAG_2,c_000000000344,244420
MAG_2,c_000000000345,511714
MAG_2,c_000000000346,1017437
MAG_2,c_000000000347,598558
MAG_2,c_000000000348,845686
MAG_2,c_000000000349,1070118
MAG_2,c_000000000350,700505
MAG_2,c_000000000351,1751690
MAG_2,c_000000000352,1679678
MAG_2,c_000000000353,119902
MAG_2,c_000000000354,506140
MAG_2,c_000000000355,59853
MAG_2,c_000000000356,34690
MAG_2,c_000000000357,739438
MAG_2,c_000000000358,839929
MAG_2,c_000000000359,1635560
MAG_2,c_000000000360,1553109
MAG_2,c_000000000361,1186475
MAG_2,c_000000000362,530589
MAG_2,c_000000000363,1213376
MAG_2,c_000000000364,730458
MAG_2,c_000000000365,1298211
MAG_2,c_000000000366,1307181
MAG_2,c_000000000367,350657
MAG_2,c_000000000368,553886
MAG_2,c_000000000369,1019267
MAG_2,c_000000000370,1636846
MAG_2,c_000000000371,1284317
MAG_2,c_000000000372,492550
MAG_2,c_000000000373,1754222
MAG_2,c_000000000374,1602251
MAG_2,c_000000000375,1178707
MAG_2,c_000000000376,838254
MAG_2,c_000000000377,1068681
MAG_2,c_000000000378,355942
MAG_2,c_000000000379,239400
MAG_2,c_000000000380,40140
MAG_2,c_000000000381,371258
MAG_2,c_000000000382,348447
MAG_2,c_000000000383,1690919
MAG_2,c_000000000384,1499547
MAG_2,c_000000000385,402687
MAG_2,c_000000000386,703213
MAG_2,c_000000000387,376917
MAG_2,c_000000000388,79038
MAG_2,c_000000000389,1000945
MAG_2,c_000000000390,1461999
MAG_2,c_000000000391,1091998
MAG_2,c_000000000392,747402
MAG_2,c_000000000393,472385
MAG_2,c_000000000394,1459069
MAG_2,c_000000000395,1654165
MAG_2,c_000000000396,1141805
MAG_2,c_000000000397,721676
MAG_2,c_000000000398,1179126
MAG_2,c_000000000399,29052
MAG_2,c_000000000400,180850
MAG_2,c_000000000401,866083
MAG_2,c_000000000402,476189
MAG_2,c_000000000403,1524268
MAG_2,c_000000000404,1172749
MAG_2,c_000000000405,847959
MAG_2,c_000000000406,464028
MAG_2,c_000000000407,489752
MAG_2,c_000000000408,488242
MAG_2,c_000000000409,1588106
MAG_2,c_000000000410,1782491
MAG_2,c_000000000411,249665
MAG_2,c_000000000412,1014871
MAG_2,c_000000000413,1498387
MAG_2,c_000000000414,1324264
MAG_2,c_000000000415,1749866
MAG_2,c_000000000416,1358022
MAG_2,c_000000000417,536959
MAG_2,c_000000000418,1432214
MAG_2,c_000000000419,436140
MAG_2,c_000000000420,352808
MAG_2,c_000000000421,296222
MAG_2,c_000000000422,1237426
MAG_2,c_000000000423,123513
MAG_2,c_000000000424,1524322
MAG_2,c_000000000425,1772624
MAG_2,c_000000000426,1059106
MAG_2,c_000000000427,274525
MAG_2,c_000000000428,1711513
MAG_2,c_000000000429,22422
MAG_2,c_000000000430,290876
MAG_2,c_000000000431,1080775
MAG_2,c_000000000432,166221
MAG_2,c_000000000433,562739
MAG_2,c_000000000434,349061
MAG_2,c_000000000435,1421015
MAG_2,c_000000000436,564315
MAG_2,c_000000000437,1085384
MAG_2,c_000000000438,1317200
MAG_2,c_000000000439,1489601
MAG_2,c_000000000440,4519
MAG_2,c_000000000441,380120
MAG_2,c_000000000442,1101457
MAG_2,c_000000000443,1553542
MAG_2,c_000000000444,1520710
MAG_2,c_000000000445,845964
MAG_2,c_000000000446,547850
MAG_2,c_000000000447,5591
MAG_2,c_000000000448,1067909
MAG_2,c_000000000449,262953
MAG_2,c_000000000450,912441
MAG_2,c_000000000451,1674172
MAG_2,c_000000000452,110535
MAG_2,c_000000000453,1068077
MAG_2,c_000000000454,1370953
MAG_2,c_000000000455,1412026
MAG_2,c_000000000456,354543
MAG_2,c_000000000457,426168
MAG_2,c_000000000458,1422769
MAG_2,c_000000000459,652496
MAG_2,c_000000000460,127168
MAG_2,c_000000000461,1540500
MAG_3,c_000000000462,1021599
MAG_3,c_000000000463,470858
MAG_3,c_000000000464,562155
MAG_3,c_000000000465,635079
MAG_3,c_000000000466,175041
MAG_3,c_000000000467,488731
MAG_3,c_000000000468,1411661
MAG_3,c_000000000469,367040
MAG_3,c_000000000470,73747
MAG_3,c_000000000471,1790417
MAG_3,c_000000000472,1210175
MAG_3,c_000000000473,1561802
MAG_3,c_000000000474,1520259
MAG_3,c_000000000475,1660930
MAG_3,c_000000000476,527755
MAG_3,c_000000000477,465013
MAG_3,c_000000000478,1663151
MAG_3,c_000000000479,368811
MAG_3,c_000000000480,945955
MAG_3,c_000000000481,924435
MAG_3,c_000000000482,386622
MAG_3,c_000000000483,64687
MAG_3,c_000000000484,1209079
MAG_3,c_000000000485,294090
MAG_3,c_000000000486,561688
MAG_3,c_000000000487,283844
MAG_3,c_000000000488,1752287
MAG_3,c_000000000489,1661629
MAG_3,c_000000000490,1387485
MAG_3,c_000000000491,460868
MAG_3,c_000000000492,1098322
MAG_3,c_000000000493,1146672
MAG_3,c_000000000494,1568877
MAG_3,c_000000000495,70050
MAG_3,c_000000000496,651853
MAG_3,c_000000000497,1208733
MAG_3,c_000000000498,374995
MAG_3,c_000000000499,241428
MAG_3,c_000000000500,1803058
MAG_3,c_000000000501,150748
MAG_3,c_000000000502,1612050
MAG_3,c_000000000503,111490
MAG_3,c_000000000504,189813
MAG_3,c_000000000505,1237216
MAG_3,c_000000000506,414248
MAG_3,c_000000000507,390496
MAG_3,c_000000000508,1472376
MAG_3,c_000000000509,383640
MAG_3,c_000000000510,819286
MAG_3,c_000000000511,1280325
MAG_3,c_000000000512,151049
MAG_3,c_000000000513,1030448
MAG_3,c_000000000514,1238447
MAG_3,c_000000000515,1449903
MAG_3,c_000000000516,882136
MAG_3,c_000000000517,14765
MAG_3,c_000000000518,230362
MAG_3,c_000000000519,582767
MAG_3,c_000000000520,1362167
MAG_3,c_000000000521,47110
MAG_3,c_000000000522,500173
MAG_3,c_000000000523,1646090
MAG_3,c_000000000524,415599
MAG_3,c_000000000525,647584
MAG_3,c_000000000526,326473
MAG_3,c_000000000527,507375
MAG_3,c_000000000528,536026
MAG_3,c_000000000529,1155369
MAG_3,c_000000000530,1467966
MAG_3,c_000000000531,536561
MAG_3,c_000000000532,1257925
MAG_3,c_000000000533,1406678
MAG_3,c_000000000534,1654619
MAG_3,c_000000000535,477814
MAG_3,c_000000000536,905744
MAG_3,c_000000000537,830458
MAG_3,c_000000000538,309499
MAG_3,c_000000000539,1715787
MAG_3,c_000000000540,1420803
MAG_3,c_000000000541,907267
MAG_3,c_000000000542,1162930
MAG_3,c_000000000543,740832
MAG_3,c_000000000544,1083540
MAG_3,c_000000000545,1384483
MAG_3,c_000000000546,995761
MAG_3,c_000000000547,1662820
MAG_3,c_000000000548,175366
MAG_3,c_000000000549,1199647
MAG_3,c_000000000550,667367
MAG_3,c_000000000551,1091115
MAG_3,c_000000000552,361739
MAG_3,c_000000000553,1245067
MAG_3,c_000000000554,205139
MAG_3,c_000000000555,128298
MAG_3,c_000000000556,563906
MAG_3,c_000000000557,703521
MAG_3,c_000000000558,1377754
MAG_3,c_000000000559,364389
MAG_3,c_000000000560,449463
MAG_3,c_000000000561,935897
MAG_3,c_000000000562,1579922
MAG_3,c_000000000563,145278
MAG_3,c_000000000564,45671
MAG_3,c_000000000565,484611
MAG_3,c_000000000566,661920
MAG_3,c_000000000567,359298
MAG_3,c_000000000568,1656710
MAG_3,c_000000000569,523582
MAG_3,c_000000000570,1134256
MAG_3,c_000000000571,148849
MAG_3,c_000000000572,1342884
MAG_3,c_000000000573,1798201
MAG_3,c_000000000574,767615
MAG_3,c_000000000575,891842
MAG_3,c_000000000576,932486
MAG_3,c_000000000577,1415394
MAG_3,c_000000000578,1291334
MAG_3,c_000000000579,483864
MAG_3,c_000000000580,1763935
MAG_3,c_000000000581,1062458
MAG_3,c_000000000582,1616
MAG_3,c_000000000583,761204
MAG_3,c_000000000584,1243011
MAG_3,c_000000000585,255922
MAG_3,c_000000000586,83194
MAG_3,c_000000000587,1307774
MAG_3,c_000000000588,105152
MAG_3,c_000000000589,1568438
MAG_3,c_000000000590,595288
MAG_3,c_000000000591,1351429
MAG_3,c_000000000592,855750
MAG_3,c_000000000593,1681077
MAG_3,c_000000000594,165548
MAG_3,c_000000000595,27858
MAG_3,c_000000000596,310051
MAG_3,c_000000000597,834358
MAG_3,c_000000000598,1856509
MAG_3,c_000000000599,952805
MAG_3,c_000000000600,22595
MAG_3,c_000000000601,387517
MAG_3,c_000000000602,70867
MAG_3,c_000000000603,426944
MAG_3,c_000000000604,662832
MAG_3,c_000000000605,545271
MAG_3,c_000000000606,902039
MAG_3,c_000000000607,727398
MAG_3,c_000000000608,527327
MAG_3,c_000000000609,714461
MAG_3,c_000000000610,618520
MAG_3,c_000000000611,1271589
MAG_3,c_000000000612,1522176
MAG_3,c_000000000613,470274
MAG_3,c_000000000614,1548245
MAG_3,c_000000000615,940912
MAG_3,c_000000000616,863342
MAG_3,c_000000000617,271453
MAG_3,c_000000000618,1417458
MAG_3,c_000000000619,1310367
MAG_3,c_000000000620,625439
MAG_3,c_000000000621,1019224
MAG_3,c_000000000622,1074578
MAG_3,c_000000000623,267787
MAG_3,c_000000000624,368315
MAG_3,c_000000000625,85096
MAG_3,c_000000000626,84055
MAG_3,c_000000000627,593009
MAG_3,c_000000000628,1446320
MAG_3,c_000000000629,1763084
MAG_3,c_000000000630,383418
MAG_3,c_000000000631,1015137
MAG_3,c_000000000632,1794625
MAG_3,c_000000000633,1036468
MAG_3,c_000000000634,1105485
MAG_3,c_000000000635,665273
MAG_3,c_000000000636,955635
MAG_3,c_000000000637,76850
MAG_3,c_000000000638,1471973
MAG_3,c_000000000639,207510
MAG_3,c_000000000640,1103801
MAG_3,c_000000000641,672387
MAG_3,c_000000000642,585797
MAG_3,c_000000000643,759384
MAG_3,c_000000000644,737949
MAG_3,c_000000000645,1221277
MAG_3,c_000000000646,953426
MAG_3,c_000000000647,331319
MAG_3,c_000000000648,1313725
MAG_3,c_000000000649,1646479
MAG_3,c_000000000650,931484
MAG_3,c_000000000651,1139106
MAG_3,c_000000000652,1610912
MAG_3,c_000000000653,585754
MAG_3,c_000000000654,311366
MAG_3,c_000000000655,700699
MAG_3,c_000000000656,509313
MAG_3,c_000000000657,1609531
MAG_3,c_000000000658,180113
MAG_3,c_000000000659,791515
MAG_3,c_000000000660,1424282
MAG_3,c_000000000661,1767707
MAG_3,c_000000000662,260410
MAG_3,c_000000000663,310139
MAG_3,c_000000000664,280231
MAG_3,c_000000000665,1580460
MAG_3,c_000000000666,302065
MAG_3,c_000000000667,361430
MAG_3,c_000000000668,1135781
MAG_3,c_000000000669,660082
MAG_3,c_000000000670,61893
MAG_3,c_000000000671,245623
MAG_3,c_000000000672,1327616
MAG_3,c_000000000673,162204
MAG_3,c_000000000674,584730
MAG_3,c_000000000675,1141022
MAG_3,c_000000000676,17326
MAG_3,c_000000000677,1507695
MAG_3,c_000000000678,233606
MAG_3,c_000000000679,505387
MAG_3,c_000000000680,722746
MAG_3,c_000000000681,210571
MAG_3,c_000000000682,580688
MAG_3,c_000000000683,884252
MAG_3,c_000000000684,1343025
MAG_3,c_000000000685,1768616
MAG_3,c_000000000686,594633
MAG_3,c_000000000687,1524239
MAG_3,c_000000000688,268195
MAG_3,c_000000000689,12262
MAG_3,c_000000000690,276557
MAG_3,c_000000000691,1020233
MAG_3,c_000000000692,1660060
MAG_3,c_000000000693,298529
MAG_3,c_000000000694,5938
MAG_3,c_000000000695,1408003
MAG_3,c_000000000696,888891
MAG_3,c_000000000697,1372626
MAG_3,c_000000000698,645798
MAG_3,c_000000000699,475287
MAG_3,c_000000000700,603998
MAG_3,c_000000000701,1139307
MAG_3,c_000000000702,103392
MAG_3,c_000000000703,242990
MAG_3,c_000000000704,449497
MAG_3,c_000000000705,396961
MAG_3,c_000000000706,1485097
MAG_3,c_000000000707,15576
MAG_3,c_000000000708,2036
MAG_3,c_000000000709,1819278
MAG_3,c_000000000710,393459
MAG_3,c_000000000711,147601
MAG_3,c_000000000712,268542
MAG_3,c_000000000713,703271
MAG_3,c_000000000714,9642
MAG_3,c_000000000715,614510
MAG_3,c_000000000716,703624
MAG_3,c_000000000717,234545
MAG_3,c_000000000718,790442
MAG_3,c_000000000719,555432
MAG_3,c_000000000720,1340011
MAG_3,c_000000000721,260459
MAG_3,c_000000000722,224198
MAG_3,c_000000000723,919089
MAG_3,c_000000000724,1064637
MAG_3,c_000000000725,500359
MAG_3,c_000000000726,1739624
MAG_3,c_000000000727,1795404
MAG_3,c_000000000728,1452246
MAG_3,c_000000000729,367750
MAG_3,c_000000000730,1533495
MAG_3,c_000000000731,259831
MAG_3,c_000000000732,1339967
MAG_3,c_000000000733,464918
MAG_3,c_000000000734,1302619
MAG_3,c_000000000735,498064
MAG_3,c_000000000736,973611
MAG_3,c_000000000737,1786202
MAG_3,c_000000000738,1157690
MAG_3,c_000000000739,587276
MAG_3,c_000000000740,284057
MAG_3,c_000000000741,828096
MAG_3,c_000000000742,1102227
MAG_3,c_000000000743,1792212
MAG_3,c_000000000744,1132304
MAG_3,c_000000000745,993565
MAG_3,c_000000000746,1228524
MAG_3,c_000000000747,784815
MAG_3,c_000000000748,596826
MAG_3,c_000000000749,1346765
MAG_3,c_000000000750,1648367
MAG_3,c_000000000751,969381
MAG_3,c_000000000752,1217240
MAG_3,c_000000000753,283716
MAG_3,c_000000000754,1358172
MAG_3,c_000000000755,849858
MAG_3,c_000000000756,302163
MAG_3,c_000000000757,348427
MAG_3,c_000000000758,402430
MAG_3,c_000000000759,1832647
MAG_3,c_000000000760,1449996
MAG_3,c_000000000761,478268
MAG_3,c_000000000762,414461
MAG_3,c_000000000763,1538622
MAG_3,c_000000000764,162635
MAG_3,c_000000000765,1691027
MAG_3,c_000000000766,596839
MAG_3,c_000000000767,263205
MAG_3,c_000000000768,1669984
MAG_3,c_000000000769,705576
MAG_3,c_000000000770,1726522
MAG_3,c_000000000771,1573025
MAG_3,c_000000000772,562340
MAG_3,c_000000000773,429655
MAG_3,c_000000000774,846456
MAG_3,c_000000000775,879068
MAG_3,c_000000000776,1084544
MAG_3,c_000000000777,10777
MAG_3,c_000000000778,897033
MAG_3,c_000000000779,497395
MAG_3,c_000000000780,66608
MAG_3,c_000000000781,102048
MAG_3,c_000000000782,617596
MAG_3,c_000000000783,1615396
MAG_3,c_000000000784,392551
MAG_3,c_000000000785,1379995
MAG_3,c_000000000786,353361
MAG_3,c_000000000787,302752
MAG_3,c_000000000788,1778732
MAG_3,c_000000000789,753697
MAG_3,c_000000000790,298246
MAG_3,c_000000000791,980337
MAG_3,c_000000000792,1311941
MAG_3,c_000000000793,1078708
MAG_3,c_000000000794,1569596
MAG_3,c_000000000795,207126
MAG_3,c_000000000796,1647324
MAG_3,c_000000000797,249701
MAG_3,c_000000000798,1319152
MAG_3,c_000000000799,161928
MAG_3,c_000000000800,487160
MAG_3,c_000000000801,514215
MAG_3,c_000000000802,421539
MAG_3,c_000000000803,1419366
MAG_3,c_000000000804,949977
MAG_3,c_000000000805,585198
MAG_3,c_000000000806,869237
MAG_3,c_000000000807,1517337
MAG_3,c_000000000808,855589
MAG_3,c_000000000809,1462172
MAG_3,c_000000000810,1529220
MAG_3,c_000000000811,1640099
MAG_3,c_000000000812,1789942
MAG_3,c_000000000813,668100
MAG_3,c_000000000814,1457224
MAG_3,c_000000000815,474407
MAG_3,c_000000000816,874294
MAG_3,c_000000000817,63846
MAG_3,c_000000000818,491304
MAG_3,c_000000000819,1297176
MAG_3,c_000000000820,217783
MAG_3,c_000000000821,594447
MAG_3,c_000000000822,247445
MAG_3,c_000000000823,200874
MAG_3,c_000000000824,936439
MAG_3,c_000000000825,1225646
MAG_3,c_000000000826,892854
MAG_3,c_000000000827,1439172
MAG_3,c_000000000828,1792357
MAG_3,c_000000000829,1040776
MAG_3,c_000000000830,1277709
MAG_3,c_000000000831,1079992
MAG_3,c_000000000832,1525823
MAG_3,c_000000000833,599772
MAG_3,c_000000000834,1580091
MAG_3,c_000000000835,946481
MAG_3,c_000000000836,563548
MAG_3,c_000000000837,851530
MAG_3,c_000000000838,1456185
MAG_3,c_000000000839,580949
MAG_3,c_000000000840,1398361
MAG_3,c_000000000841,223703
MAG_3,c_000000000842,357584
MAG_3,c_000000000843,1308580
MAG_3,c_000000000844,1852580
MAG_3,c_000000000845,1546874
MAG_3,c_000000000846,1676880
MAG_3,c_000000000847,819695
MAG_3,c_000000000848,1229608
MAG_3,c_000000000849,251649
MAG_3,c_000000000850,1215829
